Name,Alexander (vector)
10_114,{0; 6; 2; -10; 21; -27; 21; -10; 2}
10_115,{0; 6; 1; -9; 26; -37; 26; -9; 1}
10_116,{0; 8; 1; -5; 12; -19; 21; -19; 12; -5; 1}
10_117,{0; 6; 2; -10; 24; -31; 24; -10; 2}
10_118,{0; 8; 1; -5; 12; -19; 23; -19; 12; -5; 1}
10_119,{0; 6; 2; -10; 23; -31; 23; -10; 2}
10_120,{0; 4; 8; -26; 37; -26; 8}
10_121,{0; 6; 2; -11; 27; -35; 27; -11; 2}
10_122,{0; 6; 2; -11; 24; -31; 24; -11; 2}
10_123,{0; 8; 1; -6; 15; -24; 29; -24; 15; -6; 1}
10_124,{0; 8; 1; -1; 0; 1; -1; 1; 0; -1; 1}
10_125,{0; 6; 1; -2; 2; -1; 2; -2; 1}
10_126,{0; 6; 1; -2; 4; -5; 4; -2; 1}
10_127,{0; 6; 1; -4; 6; -7; 6; -4; 1}
10_128,{0; 6; 2; -3; 1; 1; 1; -3; 2}
10_129,{0; 4; 2; -6; 9; -6; 2}
10_130,{0; 4; 2; -4; 5; -4; 2}
10_131,{0; 4; 2; -8; 11; -8; 2}
10_132,{0; 4; 1; -1; 1; -1; 1}
10_133,{0; 4; 1; -5; 7; -5; 1}
10_134,{0; 6; 2; -4; 4; -3; 4; -4; 2}
10_135,{0; 4; 3; -9; 13; -9; 3}
10_136,{0; 4; 1; -4; 5; -4; 1}
10_137,{0; 4; 1; -6; 11; -6; 1}
10_138,{0; 6; 1; -5; 8; -7; 8; -5; 1}
10_139,{0; 8; 1; -1; 0; 2; -3; 2; 0; -1; 1}
10_140,{0; 4; 1; -2; 3; -2; 1}
10_141,{0; 6; 1; -3; 4; -5; 4; -3; 1}
10_142,{0; 6; 2; -3; 2; -1; 2; -3; 2}
10_143,{0; 6; 1; -3; 6; -7; 6; -3; 1}
10_144,{0; 4; 3; -10; 13; -10; 3}
10_145,{0; 4; 1; 1; -3; 1; 1}
10_146,{0; 4; 2; -8; 13; -8; 2}
10_147,{0; 4; 2; -7; 9; -7; 2}
10_148,{0; 6; 1; -3; 7; -9; 7; -3; 1}
10_149,{0; 6; 1; -5; 9; -11; 9; -5; 1}
10_150,{0; 6; 1; -4; 6; -7; 6; -4; 1}
10_151,{0; 6; 1; -4; 10; -13; 10; -4; 1}
10_152,{0; 8; 1; -1; -1; 4; -5; 4; -1; -1; 1}
10_153,{0; 6; 1; -1; -1; 3; -1; -1; 1}
10_154,{0; 6; 1; 0; -4; 7; -4; 0; 1}
10_155,{0; 6; 1; -3; 5; -7; 5; -3; 1}
10_156,{0; 6; 1; -4; 8; -9; 8; -4; 1}
10_157,{0; 6; 1; -6; 11; -13; 11; -6; 1}
10_158,{0; 6; 1; -4; 10; -15; 10; -4; 1}
10_159,{0; 6; 1; -4; 9; -11; 9; -4; 1}
10_160,{0; 6; 1; -4; 4; -3; 4; -4; 1}
10_161,{0; 6; 1; 0; -2; 3; -2; 0; 1}
10_162,{0; 4; 3; -9; 11; -9; 3}
10_163,{0; 6; 1; -5; 12; -15; 12; -5; 1}
10_164,{0; 4; 3; -11; 17; -11; 3}
10_165,{0; 4; 2; -10; 15; -10; 2}
11a_1,{0; 6; 2; -12; 30; -39; 30; -12; 2}
11a_2,{0; 6; 3; -15; 31; -39; 31; -15; 3}
11a_3,{0; 8; 1; -5; 13; -24; 29; -24; 13; -5; 1}
11a_4,{0; 6; 2; -10; 22; -29; 22; -10; 2}
11a_5,{0; 6; 1; -9; 30; -45; 30; -9; 1}
11a_6,{0; 6; 2; -13; 32; -41; 32; -13; 2}
11a_7,{0; 8; 1; -5; 12; -19; 21; -19; 12; -5; 1}
11a_8,{0; 6; 2; -11; 27; -37; 27; -11; 2}
11a_9,{0; 8; 1; -5; 10; -11; 11; -11; 10; -5; 1}
11a_10,{0; 6; 2; -11; 25; -31; 25; -11; 2}
11a_11,{0; 6; 2; -11; 26; -35; 26; -11; 2}
11a_12,{0; 6; 2; -11; 24; -29; 24; -11; 2}
11a_13,{0; 4; 3; -15; 25; -15; 3}
11a_14,{0; 8; 1; -5; 15; -28; 35; -28; 15; -5; 1}
11a_15,{0; 8; 1; -5; 13; -22; 25; -22; 13; -5; 1}
11a_16,{0; 6; 2; -10; 24; -33; 24; -10; 2}
11a_17,{0; 6; 1; -10; 30; -41; 30; -10; 1}
11a_18,{0; 6; 3; -13; 29; -37; 29; -13; 3}
11a_19,{0; 8; 1; -6; 18; -33; 39; -33; 18; -6; 1}
11a_20,{0; 6; 3; -13; 25; -31; 25; -13; 3}
11a_21,{0; 4; 5; -19; 27; -19; 5}
11a_22,{0; 8; 1; -5; 13; -20; 23; -20; 13; -5; 1}
11a_23,{0; 6; 2; -10; 24; -31; 24; -10; 2}
11a_24,{0; 8; 1; -6; 18; -33; 41; -33; 18; -6; 1}
11a_25,{0; 8; 1; -6; 18; -33; 39; -33; 18; -6; 1}
11a_26,{0; 8; 1; -6; 18; -33; 41; -33; 18; -6; 1}
11a_27,{0; 6; 2; -13; 34; -45; 34; -13; 2}
11a_28,{0; 8; 1; -6; 15; -24; 29; -24; 15; -6; 1}
11a_29,{0; 6; 2; -12; 27; -33; 27; -12; 2}
11a_30,{0; 6; 2; -13; 35; -49; 35; -13; 2}
11a_31,{0; 6; 3; -14; 28; -35; 28; -14; 3}
11a_32,{0; 6; 3; -14; 32; -41; 32; -14; 3}
11a_33,{0; 8; 1; -5; 12; -19; 21; -19; 12; -5; 1}
11a_34,{0; 8; 1; -5; 14; -25; 29; -25; 14; -5; 1}
11a_35,{0; 8; 1; -5; 14; -25; 31; -25; 14; -5; 1}
11a_36,{0; 6; 2; -12; 28; -37; 28; -12; 2}
11a_37,{0; 6; 2; -9; 21; -29; 21; -9; 2}
11a_38,{0; 6; 2; -11; 27; -37; 27; -11; 2}
11a_39,{0; 6; 3; -12; 22; -27; 22; -12; 3}
11a_40,{0; 8; 1; -5; 12; -17; 19; -17; 12; -5; 1}
11a_41,{0; 6; 2; -11; 27; -35; 27; -11; 2}
11a_42,{0; 6; 1; -9; 26; -35; 26; -9; 1}
11a_43,{0; 6; 4; -15; 30; -37; 30; -15; 4}
11a_44,{0; 8; 1; -5; 14; -24; 29; -24; 14; -5; 1}
11a_45,{0; 4; 6; -22; 31; -22; 6}
11a_46,{0; 6; 2; -9; 20; -25; 20; -9; 2}
11a_47,{0; 8; 1; -5; 14; -24; 29; -24; 14; -5; 1}
11a_48,{0; 6; 2; -12; 26; -33; 26; -12; 2}
11a_49,{0; 6; 3; -13; 23; -27; 23; -13; 3}
11a_50,{0; 4; 5; -21; 31; -21; 5}
11a_51,{0; 6; 1; -9; 28; -39; 28; -9; 1}
11a_52,{0; 6; 2; -13; 32; -43; 32; -13; 2}
11a_53,{0; 8; 1; -6; 14; -18; 19; -18; 14; -6; 1}
11a_54,{0; 6; 2; -13; 33; -43; 33; -13; 2}
11a_55,{0; 8; 1; -5; 10; -13; 13; -13; 10; -5; 1}
11a_56,{0; 6; 2; -11; 25; -33; 25; -11; 2}
11a_57,{0; 8; 1; -5; 12; -20; 23; -20; 12; -5; 1}
11a_58,{0; 6; 2; -9; 18; -23; 18; -9; 2}
11a_59,{0; 4; 3; -11; 15; -11; 3}
11a_60,{0; 6; 3; -12; 18; -19; 18; -12; 3}
11a_61,{0; 4; 6; -26; 39; -26; 6}
11a_62,{0; 8; 1; -5; 8; -9; 9; -9; 8; -5; 1}
11a_63,{0; 6; 2; -11; 21; -25; 21; -11; 2}
11a_64,{0; 6; 2; -11; 22; -27; 22; -11; 2}
11a_65,{0; 4; 3; -15; 23; -15; 3}
11a_66,{0; 8; 1; -6; 15; -24; 27; -24; 15; -6; 1}
11a_67,{0; 6; 2; -12; 29; -39; 29; -12; 2}
11a_68,{0; 8; 1; -6; 14; -20; 21; -20; 14; -6; 1}
11a_69,{0; 6; 2; -13; 33; -45; 33; -13; 2}
11a_70,{0; 6; 2; -14; 36; -47; 36; -14; 2}
11a_71,{0; 8; 1; -6; 18; -34; 41; -34; 18; -6; 1}
11a_72,{0; 8; 1; -6; 18; -32; 39; -32; 18; -6; 1}
11a_73,{0; 8; 1; -7; 21; -37; 45; -37; 21; -7; 1}
11a_74,{0; 8; 1; -5; 10; -13; 15; -13; 10; -5; 1}
11a_75,{0; 6; 2; -10; 19; -21; 19; -10; 2}
11a_76,{0; 8; 1; -6; 17; -30; 37; -30; 17; -6; 1}
11a_77,{0; 6; 2; -12; 31; -41; 31; -12; 2}
11a_78,{0; 6; 2; -12; 29; -37; 29; -12; 2}
11a_79,{0; 8; 1; -6; 17; -30; 35; -30; 17; -6; 1}
11a_80,{0; 8; 1; -6; 16; -28; 35; -28; 16; -6; 1}
11a_81,{0; 8; 1; -6; 16; -26; 29; -26; 16; -6; 1}
11a_82,{0; 8; 1; -5; 12; -19; 21; -19; 12; -5; 1}
11a_83,{0; 8; 1; -5; 14; -23; 27; -23; 14; -5; 1}
11a_84,{0; 6; 2; -10; 23; -31; 23; -10; 2}
11a_85,{0; 6; 2; -10; 25; -33; 25; -10; 2}
11a_86,{0; 8; 1; -5; 12; -18; 19; -18; 12; -5; 1}
11a_87,{0; 6; 2; -11; 28; -39; 28; -11; 2}
11a_88,{0; 8; 1; -5; 12; -20; 25; -20; 12; -5; 1}
11a_89,{0; 6; 2; -12; 28; -35; 28; -12; 2}
11a_90,{0; 6; 2; -10; 20; -23; 20; -10; 2}
11a_91,{0; 6; 2; -12; 30; -41; 30; -12; 2}
11a_92,{0; 8; 1; -5; 12; -21; 25; -21; 12; -5; 1}
11a_93,{0; 6; 2; -10; 21; -27; 21; -10; 2}
11a_94,{0; 6; 4; -13; 23; -27; 23; -13; 4}
11a_95,{0; 4; 6; -18; 25; -18; 6}
11a_96,{0; 6; 1; -9; 29; -43; 29; -9; 1}
11a_97,{0; 6; 2; -9; 16; -17; 16; -9; 2}
11a_98,{0; 4; 4; -19; 31; -19; 4}
11a_99,{0; 8; 1; -6; 17; -28; 31; -28; 17; -6; 1}
11a_100,{0; 6; 3; -15; 32; -41; 32; -15; 3}
11a_101,{0; 6; 3; -16; 39; -51; 39; -16; 3}
11a_102,{0; 6; 2; -11; 23; -27; 23; -11; 2}
11a_103,{0; 4; 4; -20; 33; -20; 4}
11a_104,{0; 6; 2; -12; 29; -39; 29; -12; 2}
11a_105,{0; 6; 3; -13; 24; -29; 24; -13; 3}
11a_106,{0; 8; 1; -5; 12; -18; 21; -18; 12; -5; 1}
11a_107,{0; 6; 2; -11; 26; -33; 26; -11; 2}
11a_108,{0; 8; 1; -5; 12; -20; 23; -20; 12; -5; 1}
11a_109,{0; 8; 1; -5; 14; -24; 29; -24; 14; -5; 1}
11a_110,{0; 6; 2; -10; 22; -29; 22; -10; 2}
11a_111,{0; 6; 2; -10; 24; -31; 24; -10; 2}
11a_112,{0; 8; 1; -6; 15; -25; 31; -25; 15; -6; 1}
11a_113,{0; 8; 1; -6; 15; -21; 23; -21; 15; -6; 1}
11a_114,{0; 6; 3; -15; 35; -45; 35; -15; 3}
11a_115,{0; 6; 3; -13; 27; -35; 27; -13; 3}
11a_116,{0; 6; 3; -15; 31; -39; 31; -15; 3}
11a_117,{0; 6; 2; -12; 27; -35; 27; -12; 2}
11a_118,{0; 6; 2; -10; 20; -23; 20; -10; 2}
11a_119,{0; 4; 4; -19; 31; -19; 4}
11a_120,{0; 6; 2; -12; 25; -31; 25; -12; 2}
11a_121,{0; 6; 1; -9; 29; -41; 29; -9; 1}
11a_122,{0; 6; 2; -12; 30; -39; 30; -12; 2}
11a_123,{0; 4; 9; -29; 41; -29; 9}
11a_124,{0; 6; 5; -18; 34; -41; 34; -18; 5}
11a_125,{0; 8; 1; -6; 19; -38; 47; -38; 19; -6; 1}
11a_126,{0; 8; 1; -5; 16; -31; 39; -31; 16; -5; 1}
11a_127,{0; 8; 1; -6; 17; -28; 33; -28; 17; -6; 1}
11a_128,{0; 6; 1; -9; 31; -47; 31; -9; 1}
11a_129,{0; 8; 1; -6; 15; -22; 25; -22; 15; -6; 1}
11a_130,{0; 6; 2; -12; 29; -37; 29; -12; 2}
11a_131,{0; 8; 1; -6; 16; -27; 31; -27; 16; -6; 1}
11a_132,{0; 6; 2; -13; 32; -41; 32; -13; 2}
11a_133,{0; 4; 5; -20; 29; -20; 5}
11a_134,{0; 6; 3; -13; 28; -35; 28; -13; 3}
11a_135,{0; 6; 2; -13; 36; -51; 36; -13; 2}
11a_136,{0; 6; 2; -14; 39; -53; 39; -14; 2}
11a_137,{0; 6; 2; -12; 26; -31; 26; -12; 2}
11a_138,{0; 6; 2; -14; 38; -53; 38; -14; 2}
11a_139,{0; 8; 1; -5; 12; -20; 23; -20; 12; -5; 1}
11a_140,{0; 6; 2; -8; 14; -17; 14; -8; 2}
11a_141,{0; 6; 2; -11; 24; -29; 24; -11; 2}
11a_142,{0; 8; 1; -5; 8; -10; 11; -10; 8; -5; 1}
11a_143,{0; 6; 2; -11; 20; -23; 20; -11; 2}
11a_144,{0; 6; 2; -10; 16; -17; 16; -10; 2}
11a_145,{0; 4; 4; -21; 33; -21; 4}
11a_146,{0; 8; 1; -6; 15; -25; 29; -25; 15; -6; 1}
11a_147,{0; 8; 1; -6; 17; -32; 39; -32; 17; -6; 1}
11a_148,{0; 4; 7; -29; 43; -29; 7}
11a_149,{0; 6; 2; -12; 30; -39; 30; -12; 2}
11a_150,{0; 6; 2; -13; 29; -37; 29; -13; 2}
11a_151,{0; 8; 1; -6; 15; -26; 31; -26; 15; -6; 1}
11a_152,{0; 6; 2; -12; 27; -35; 27; -12; 2}
11a_153,{0; 6; 2; -10; 20; -25; 20; -10; 2}
11a_154,{0; 4; 4; -17; 25; -17; 4}
11a_155,{0; 6; 3; -16; 40; -53; 40; -16; 3}
11a_156,{0; 8; 1; -5; 11; -18; 21; -18; 11; -5; 1}
11a_157,{0; 8; 1; -6; 16; -28; 33; -28; 16; -6; 1}
11a_158,{0; 8; 1; -5; 14; -25; 29; -25; 14; -5; 1}
11a_159,{0; 6; 1; -9; 27; -37; 27; -9; 1}
11a_160,{0; 8; 1; -6; 17; -30; 37; -30; 17; -6; 1}
11a_161,{0; 6; 2; -8; 12; -13; 12; -8; 2}
11a_162,{0; 8; 1; -7; 20; -35; 41; -35; 20; -7; 1}
11a_163,{0; 8; 1; -6; 15; -24; 27; -24; 15; -6; 1}
11a_164,{0; 8; 1; -7; 20; -35; 43; -35; 20; -7; 1}
11a_165,{0; 6; 2; -9; 18; -23; 18; -9; 2}
11a_166,{0; 4; 4; -15; 21; -15; 4}
11a_167,{0; 6; 2; -11; 26; -35; 26; -11; 2}
11a_168,{0; 6; 2; -12; 29; -39; 29; -12; 2}
11a_169,{0; 6; 2; -12; 28; -37; 28; -12; 2}
11a_170,{0; 8; 1; -6; 20; -40; 51; -40; 20; -6; 1}
11a_171,{0; 8; 1; -7; 21; -39; 47; -39; 21; -7; 1}
11a_172,{0; 6; 2; -13; 33; -43; 33; -13; 2}
11a_173,{0; 6; 2; -12; 32; -43; 32; -12; 2}
11a_174,{0; 8; 1; -5; 11; -15; 15; -15; 11; -5; 1}
11a_175,{0; 8; 1; -5; 13; -21; 25; -21; 13; -5; 1}
11a_176,{0; 8; 1; -5; 13; -23; 27; -23; 13; -5; 1}
11a_177,{0; 8; 1; -5; 13; -19; 21; -19; 13; -5; 1}
11a_178,{0; 6; 2; -11; 29; -39; 29; -11; 2}
11a_179,{0; 8; 1; -5; 9; -9; 9; -9; 9; -5; 1}
11a_180,{0; 8; 1; -5; 11; -17; 21; -17; 11; -5; 1}
11a_181,{0; 6; 2; -11; 23; -27; 23; -11; 2}
11a_182,{0; 8; 1; -5; 11; -13; 13; -13; 11; -5; 1}
11a_183,{0; 6; 2; -11; 27; -35; 27; -11; 2}
11a_184,{0; 8; 1; -5; 11; -17; 19; -17; 11; -5; 1}
11a_185,{0; 6; 2; -11; 25; -33; 25; -11; 2}
11a_186,{0; 6; 4; -12; 20; -23; 20; -12; 4}
11a_187,{0; 6; 2; -11; 27; -37; 27; -11; 2}
